note_id,x,y,cluster
81678,-1.6958147,-2.1424887,4
198064,0.8714606,-0.034188434,-1
52661,0.04976286,2.7210436,-1
113366,-0.4637923,1.360029,-1
151083,-2.3071473,-3.513373,4
109842,-4.616674,-0.9895268,-1
189138,-3.9475255,3.1753445,-1
72926,-2.3950927,-0.6946938,-1
86799,-2.999173,2.3767855,-1
183146,1.3359209,-1.1474806,-1
115550,-3.0678365,2.7934651,-1
64799,3.7601633,6.557871,1
88053,-5.16458,4.7551646,5
2198,-3.8253887,2.6330795,-1
27332,-0.54535836,4.2995944,-1
15303,-1.3829821,4.3337507,-1
191080,-3.6578553,3.330023,-1
163878,-5.0656457,4.8769407,5
134565,-1.533813,2.6875854,-1
154710,-4.246971,3.2806318,4
32920,-3.1848419,-1.0707688,-1
82182,-3.3320887,4.1290746,-1
66840,-0.55255866,4.1677465,-1
191182,-2.0096831,2.2509353,-1
183255,-2.3434832,-3.2009752,-1
52540,-1.4564475,4.3514967,-1
77463,0.07528044,-0.9685042,-1
123733,-3.1594408,-0.27942318,-1
28353,-1.1107683,4.4017572,-1
73099,-4.0089707,-2.4641085,-1
74900,-1.6012882,1.7408621,-1
23259,3.7165592,6.516723,1
52555,0.107079156,-1.0178128,-1
149393,-0.5750053,4.2112575,-1
3233,-1.901526,1.4729106,-1
29458,1.7473735,-1.9009551,0
114423,-2.0226462,1.3924828,-1
132600,-1.3523648,-1.2339673,4
198845,-3.383223,0.81901395,-1
38644,-4.2379246,3.2869556,4
71438,-5.0426993,4.73469,-1
17714,-2.1455715,-1.5569788,-1
196768,-4.5932684,-1.1120346,2
110074,-1.2721002,-1.1383178,4
191414,-2.260241,1.627606,-1
170211,-2.768601,0.34916532,-1
80302,-1.1418347,0.062283833,-1
138723,-3.2069407,-1.2559779,-1
10687,1.5734807,-1.6198106,0
196123,-2.714987,-0.26878336,-1
33036,-4.9657288,-0.5565411,3
38516,-2.2548099,-3.3855047,4
148598,-1.8719923,3.8545241,-1
119433,-2.4118996,-3.3796942,4
87204,-4.234565,-0.8423993,2
16746,-0.15600607,-1.2377468,-1
94216,1.5402275,-1.816186,-1
70657,-3.6609695,0.29523277,-1
121483,0.63478345,1.7741138,-1
20975,-2.3959718,1.2172793,-1
115279,-3.3460166,3.032097,-1
203717,-3.370044,-0.69045043,-1
122274,1.9390556,-2.0221622,0
70602,0.27000773,0.4271372,-1
145297,-1.4208853,4.373373,-1
14280,-4.780577,4.394127,-1
132575,-1.3952122,-1.2973007,4
84659,-1.3901445,2.9449532,-1
183716,-0.04070072,2.7572947,1
62572,-3.1775439,2.694301,-1
143971,3.7274556,6.6319027,1
124092,0.19537099,2.571613,1
62714,-1.9514455,3.8654394,-1
115859,-2.000635,1.6735446,-1
145954,-3.8053544,2.6414163,-1
108291,0.052368246,-1.075638,-1
66053,-2.1883745,0.9899009,-1
135449,0.2832001,2.3199933,1
130353,3.5830634,6.376146,-1
98871,0.09198408,1.0472223,-1
